Target,MOC total,SiO2,TiO2,Al2O3,FeOT,MgO,CaO,Na2O,K2O,,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
PG6,95.03,60.22,0.58,19.87,6.06,4.28,0.01,0.31,3.67,95,-1.213680283,1.073534236,0.315782896,1.058748163,-0.644252716,0.048691957,0.083143349,0.377518643,1.141392592,-0.331914976,0.641319407,0.256791513,0.55087387,-0.582615121,-0.193802913,0.042801897,-0.136635954,-0.219676541,0.21383991,0.191589311,-0.187511607,0.541750624,0.075218313,-0.356761288,0.172366291
PG7,95.91,57.6,0.78,26.6,2.73,0.7,0.01,0.38,7.1,95.9,-1.503086378,-0.112514283,-0.050955466,1.722146216,-1.120634455,0.008781648,-0.222238141,-0.048300293,-0.036502504,-0.4009809,0.135772332,-1.045499686,-0.440741707,-0.186386095,-0.142360081,-0.015183147,0.093686167,-0.005590975,-0.337360272,0.039852615,-0.326983723,-0.661797934,0.742516587,-1.086389709,-0.719492491
PG7,95.91,57.6,0.78,26.6,2.73,0.7,0.01,0.38,7.1,95.9,-1.548307077,-0.154413947,-0.170768204,1.841329686,-1.518468914,0.170083257,-0.179941334,-0.109096507,-0.277082273,-1.092133574,0.222467801,-1.39792068,-0.516231892,-0.105758441,-0.114637852,0.207275599,0.263246957,-0.112199423,-0.412694096,0.092285161,0.1672762,-0.597694387,0.748867151,-1.175630033,-0.813510185
PG7,95.91,57.6,0.78,26.6,2.73,0.7,0.01,0.38,7.1,95.9,-1.512640216,-0.083773819,-0.115756513,1.754498374,-1.360144606,0.034027184,-0.173969541,-0.052908251,-0.025637667,-0.780564183,0.292677219,-1.191965124,-0.395668445,-0.104690772,-0.069514299,0.072039935,0.172845769,-0.157909124,-0.262121018,0.027497167,-0.173969482,-0.450176579,0.866329052,-1.073551209,-1.026226299
PG7,95.91,57.6,0.78,26.6,2.73,0.7,0.01,0.38,7.1,95.9,-1.499497484,-0.062381234,-0.034404737,1.694501189,-1.2361806,-0.055539662,-0.149793195,-0.024386389,-0.184277621,-0.281025936,0.150474056,-1.0544884,-0.324304677,-0.304533494,-0.110673908,-0.057508715,0.01364601,-0.031654561,-0.199667632,-0.024468143,-0.437698304,-0.554139708,0.873931347,-1.067328491,-1.001330059
PG7,95.91,57.6,0.78,26.6,2.73,0.7,0.01,0.38,7.1,95.9,-1.489107835,-0.11154973,0.016005692,1.665210115,-1.107122768,-0.18476485,-0.20651103,0.112567664,-0.187718143,-0.384139842,0.291592094,-1.549004472,-0.146327209,-0.503414246,-0.298389073,-0.207917768,0.024888653,0.092643174,0.040162664,-0.016804767,-0.332028781,-0.437843212,0.934216952,-1.035914791,-1.122732088
PL1,96.62,63.5,0.7,20.2,3.73,1.7,0.72,1.6,4.43,96.58,-0.898416589,0.275392488,-0.570895888,0.837148302,-1.182244086,-0.055719807,-0.342647598,-0.104209567,-0.348573358,-0.149534751,-0.055640485,0.076959259,-0.115396109,-0.090776013,-0.031762376,-0.053837461,0.193125486,0.07026289,0.983433762,-0.127657842,0.316349173,-0.72357822,0.276792542,0.052562683,0.348038902
PL1,96.62,63.5,0.7,20.2,3.73,1.7,0.72,1.6,4.43,96.58,-1.03522727,0.454086087,-0.43729627,1.04042841,-1.416826081,-0.07814806,-0.344116098,-0.129603142,-0.394503975,-0.181760822,-0.03321249,0.310508493,-0.178008104,-0.06520263,0.248072256,-0.13802543,0.176218453,-0.065606626,0.774024053,-0.155924877,0.279979904,-0.455685271,0.442228663,-0.10571488,0.158919921
PL1,96.62,63.5,0.7,20.2,3.73,1.7,0.72,1.6,4.43,96.58,-1.042440763,0.584942231,-0.368499493,0.970885921,-1.462965609,-0.005054206,-0.196935791,-0.098123591,-0.507148041,0.340658821,-0.223517445,0.505235912,-0.148603003,-0.21570497,0.006526811,0.120789299,0.029842043,-0.025230593,0.575323094,-0.288117176,-0.299892345,-0.972633932,0.402829435,-0.270105739,0.462269673
PL1,96.62,63.5,0.7,20.2,3.73,1.7,0.72,1.6,4.43,96.58,-0.943792736,0.094005683,-0.729924046,1.121401808,-1.24853687,0.146575801,-0.458532316,-0.526924634,-0.649494245,-0.663270051,-0.096134543,-0.004060935,-0.26488352,0.110209688,0.254942616,-0.307941034,0.499084764,-0.208315805,1.045916545,0.140625812,1.161453654,-0.192033727,0.354431172,0.365488506,-0.328090079
PL1,96.62,63.5,0.7,20.2,3.73,1.7,0.72,1.6,4.43,96.58,-0.839569464,0.255737738,-0.518202797,0.875315792,-0.951038578,-0.065868614,-0.335194222,-0.523953535,-0.323368922,0.321163327,-0.195403185,0.246482849,0.08928416,0.267568502,0.347516029,-0.475781994,-0.081686825,0.13629454,0.926943573,-0.28788716,0.435554003,-0.834262461,0.355414435,-0.068776289,-0.112496265
